"Source:","/Users/chriscaragianis/media_projects/modules/IS-1/IS-1.kicad_sch"
"Date:","2023 October 19, Thursday 12:48:44"
"Tool:","Eeschema 7.0.8"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Params","Sim.Pins","Sim.Type"
"1","1","C1","1u","Device:C_Small","","~","","C","","1=+ 2=-",""
"2","2","C2, C3","47u","Device:C_Polarized_Small_US","","~","","","","",""
"3","14","C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17","0.1u","Device:C_Small","","~","","","","",""
"4","3","D1, D2, D3","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","D","","1=K 2=A",""
"5","1","D4","LED","Device:LED","","~","","","","",""
"6","2","D5, D6","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","",""
"7","1","J2","Conn_01x10_Pin","Connector:Conn_01x10_Pin","","~","","","","",""
"8","1","R1","10k","Device:R","","~","","R","","1=+ 2=-",""
"9","1","R2","5.1k","Device:R","","~","","R","","1=+ 2=-",""
"10","1","R3","200k","Device:R","","~","","","","",""
"11","1","R4","47k","Device:R","","~","","","","",""
"12","1","R5","100k","Device:R","","~","","","","",""
"13","1","R6","1k","Device:R","","~","","R","","1=+ 2=-",""
"14","2","R7, R8","10","Device:R","","~","","","","",""
"15","1","RV1","Atk","Device:R_Potentiometer","","~","","R","pos=0.5","1=r0 2=wiper 3=r1","POT"
"16","1","RV2","Rel","Device:R_Potentiometer","","~","","R","pos=0.5","1=r0 2=wiper 3=r1","POT"
"17","1","RV3","Atten","Device:R_Potentiometer","","~","","R","r=1k","1=r0 2=wiper 3=r1","POT"
"18","1","SW1","IN SELECT","Switch:SW_SP3T","","~","","","","",""
"19","1","SW2","ENV ON/OFF","Switch:SW_DPDT_x2","","~","","","","",""
"20","1","U2","TL072","Amplifier_Operational:TL072","","http://www.ti.com/lit/ds/symlink/tl071.pdf","","","","",""
